2014-02-14	Dota 2	64095
2014-02-14	League of Legends	360351
2014-02-15	Dota 2	185428
2014-02-15	League of Legends	809602
2014-02-16	Dota 2	154674
2014-02-16	League of Legends	820439
2014-02-17	Dota 2	185817
2014-02-17	League of Legends	948646
2014-02-18	Dota 2	189796
2014-02-18	League of Legends	597688
2014-02-19	Dota 2	186462
2014-02-19	League of Legends	594450
2014-02-20	Dota 2	197256
2014-02-20	League of Legends	782030
2014-02-21	Dota 2	162207
2014-02-21	League of Legends	672904
2014-02-22	Dota 2	157605
2014-02-22	League of Legends	796280
2014-02-23	Dota 2	212285
2014-02-23	League of Legends	885885
2014-02-24	Dota 2	193003
2014-02-24	League of Legends	740945
2014-02-25	Dota 2	181175
2014-02-25	League of Legends	599198
2014-02-26	Dota 2	195491
2014-02-26	League of Legends	580060
2014-02-27	Dota 2	179456
2014-02-27	League of Legends	799985
2014-02-28	Dota 2	187811
2014-02-28	League of Legends	663805
2014-03-01	Dota 2	193254
2014-03-01	League of Legends	777645
2014-03-02	Dota 2	226660
2014-03-02	League of Legends	790730
2014-03-03	Dota 2	276303
2014-03-03	League of Legends	844913
2014-03-04	Dota 2	267285
2014-03-04	League of Legends	722265
2014-03-05	Dota 2	254931
2014-03-05	League of Legends	675711
2014-03-06	Dota 2	257161
2014-03-06	League of Legends	622351
2014-03-07	Dota 2	196052
2014-03-07	League of Legends	682977
2014-03-08	Dota 2	223589
2014-03-08	League of Legends	694138
2014-03-09	Dota 2	288136
2014-03-09	League of Legends	842873
2014-03-10	Dota 2	319485
2014-03-10	League of Legends	792747
2014-03-11	Dota 2	225464
2014-03-11	League of Legends	654248
2014-03-12	Dota 2	266824
2014-03-12	League of Legends	650440
2014-03-13	Dota 2	192849
2014-03-13	League of Legends	567192
2014-03-14	Dota 2	165688
2014-03-14	League of Legends	799713
2014-03-15	Dota 2	169062
2014-03-15	League of Legends	821032
2014-03-16	Dota 2	234700
2014-03-16	League of Legends	1042836
2014-03-17	Dota 2	231731
2014-03-17	League of Legends	522544
2014-03-18	Dota 2	221547
2014-03-18	League of Legends	526464
2014-03-19	Dota 2	240805
2014-03-19	League of Legends	554236
2014-03-20	Dota 2	191644
2014-03-20	League of Legends	685832
2014-03-21	Dota 2	181595
2014-03-21	League of Legends	572033
2014-03-22	Dota 2	203268
2014-03-22	League of Legends	663321
2014-03-23	Dota 2	211337
2014-03-23	League of Legends	701374
2014-03-24	Dota 2	229463
2014-03-24	League of Legends	596875
2014-03-25	Dota 2	233723
2014-03-25	League of Legends	501604
2014-03-26	Dota 2	228022
2014-03-26	League of Legends	598536
2014-03-27	Dota 2	238939
2014-03-27	League of Legends	699765
2014-03-28	Dota 2	173129
2014-03-28	League of Legends	557998
2014-03-29	Dota 2	235198
2014-03-29	League of Legends	772657
2014-03-30	Dota 2	236694
2014-03-30	League of Legends	881148
2014-03-31	Dota 2	275818
2014-03-31	League of Legends	707679
2014-04-01	Dota 2	269726
2014-04-01	League of Legends	806720
2014-04-02	Dota 2	310099
2014-04-02	League of Legends	598076
2014-04-03	Dota 2	297592
2014-04-03	League of Legends	599812
2014-04-04	Dota 2	258380
2014-04-04	League of Legends	608309
2014-04-05	Dota 2	226879
2014-04-05	League of Legends	658203
2014-04-06	Dota 2	264584
2014-04-06	League of Legends	709625
2014-04-07	Dota 2	357524
2014-04-07	League of Legends	693893
2014-04-08	Dota 2	324512
2014-04-08	League of Legends	532069
2014-04-09	Dota 2	338460
2014-04-09	League of Legends	588037
2014-04-10	Dota 2	205792
2014-04-10	League of Legends	599406
2014-04-11	Dota 2	205508
2014-04-11	League of Legends	616251
2014-04-12	Dota 2	202567
2014-04-12	League of Legends	758083
2014-04-13	Dota 2	291550
2014-04-13	League of Legends	713583
2014-04-14	Dota 2	435912
2014-04-14	League of Legends	694294
2014-04-15	Dota 2	224032
2014-04-15	League of Legends	703745
2014-04-16	Dota 2	288802
2014-04-16	League of Legends	762927
2014-04-17	Dota 2	263312
2014-04-17	League of Legends	771355
2014-04-18	Dota 2	249813
2014-04-18	League of Legends	744228
2014-04-19	Dota 2	269321
2014-04-19	League of Legends	861874
2014-04-20	Dota 2	351738
2014-04-20	League of Legends	843820
2014-04-21	Dota 2	166238
2014-04-21	League of Legends	968096
2014-04-22	Dota 2	236913
2014-04-22	League of Legends	674557
2014-04-23	Dota 2	243522
2014-04-23	League of Legends	651943
2014-04-24	Dota 2	235102
2014-04-24	League of Legends	754113
2014-04-25	Dota 2	185302
2014-04-25	League of Legends	616683
2014-04-26	Dota 2	278727
2014-04-26	League of Legends	816951
2014-04-27	Dota 2	255776
2014-04-27	League of Legends	769889
2014-04-28	Dota 2	227481
2014-04-28	League of Legends	822036
2014-04-29	Dota 2	235275
2014-04-29	League of Legends	615421
2014-04-30	Dota 2	190938
2014-04-30	League of Legends	664716
2014-05-01	Dota 2	241959
2014-05-01	League of Legends	669209
2014-05-02	Dota 2	249630
2014-05-02	League of Legends	689476
2014-05-03	Dota 2	256159
2014-05-03	League of Legends	710591
2014-05-04	Dota 2	249849
2014-05-04	League of Legends	665940
2014-05-05	Dota 2	263114
2014-05-05	League of Legends	604176
2014-05-06	Dota 2	238341
2014-05-06	League of Legends	649394
2014-05-07	Dota 2	284521
2014-05-07	League of Legends	643659
2014-05-08	Dota 2	247339
2014-05-08	League of Legends	952243
2014-05-09	Dota 2	217010
2014-05-09	League of Legends	779983
2014-05-10	Dota 2	270421
2014-05-10	League of Legends	809689
2014-05-11	Dota 2	285299
2014-05-11	League of Legends	899984
2014-05-12	Dota 2	317541
2014-05-12	League of Legends	612466
2014-05-13	Dota 2	272390
2014-05-13	League of Legends	690030
2014-05-14	Dota 2	239271
2014-05-14	League of Legends	597494
2014-05-15	Dota 2	222178
2014-05-15	League of Legends	616203
2014-05-16	Dota 2	249803
2014-05-16	League of Legends	660450
2014-05-17	Dota 2	220953
2014-05-17	League of Legends	819859
2014-05-18	Dota 2	238825
2014-05-18	League of Legends	960177
2014-05-19	Dota 2	230751
2014-05-19	League of Legends	938762
2014-05-20	Dota 2	264370
2014-05-20	League of Legends	877853
2014-05-21	Dota 2	228665
2014-05-21	League of Legends	789981
2014-05-22	Dota 2	178879
2014-05-22	League of Legends	854717
2014-05-23	Dota 2	196244
2014-05-23	League of Legends	881565
2014-05-24	Dota 2	298743
2014-05-24	League of Legends	820251
2014-05-25	Dota 2	343489
2014-05-25	League of Legends	902465
2014-05-26	Dota 2	272209
2014-05-26	League of Legends	996315
2014-05-27	Dota 2	294851
2014-05-27	League of Legends	744375
2014-05-28	Dota 2	220439
2014-05-28	League of Legends	686626
2014-05-29	Dota 2	206729
2014-05-29	League of Legends	742013
2014-05-30	Dota 2	198339
2014-05-30	League of Legends	681316
2014-05-31	Dota 2	243564
2014-05-31	League of Legends	981463
2014-06-01	Dota 2	235361
2014-06-01	League of Legends	1094484
2014-06-02	Dota 2	239497
2014-06-02	League of Legends	1085644
2014-06-03	Dota 2	171877
2014-06-03	League of Legends	953260
2014-06-04	Dota 2	447236
2014-06-04	League of Legends	955766
2014-06-05	Dota 2	608000
2014-06-05	League of Legends	1440482
2014-06-06	Dota 2	291520
2014-06-06	League of Legends	991645
2014-06-07	Dota 2	300082
2014-06-07	League of Legends	761669
2014-06-08	Dota 2	256651
2014-06-08	League of Legends	928496
2014-06-09	Dota 2	325079
2014-06-09	League of Legends	564433
2014-06-10	Dota 2	144302
2014-06-10	League of Legends	666588
2014-06-11	Dota 2	204128
2014-06-11	League of Legends	673777
2014-06-12	Dota 2	184788
2014-06-12	League of Legends	655707
2014-06-13	Dota 2	167743
2014-06-13	League of Legends	627494
2014-06-14	Dota 2	253021
2014-06-14	League of Legends	718900
2014-06-15	Dota 2	323073
2014-06-15	League of Legends	780015
2014-06-16	Dota 2	282644
2014-06-16	League of Legends	677958
2014-06-17	Dota 2	191187
2014-06-17	League of Legends	617583
2014-06-18	Dota 2	182184
2014-06-18	League of Legends	571473
2014-06-19	Dota 2	231355
2014-06-19	League of Legends	715185
2014-06-20	Dota 2	290228
2014-06-20	League of Legends	611879
2014-06-21	Dota 2	265202
2014-06-21	League of Legends	673715
2014-06-22	Dota 2	284701
2014-06-22	League of Legends	715643
2014-06-23	Dota 2	278840
2014-06-23	League of Legends	620118
2014-06-24	Dota 2	277612
2014-06-24	League of Legends	625674
2014-06-25	Dota 2	211667
2014-06-25	League of Legends	622915
2014-06-26	Dota 2	130550
2014-06-26	League of Legends	749173
2014-06-27	Dota 2	117608
2014-06-27	League of Legends	691919
2014-06-28	Dota 2	233100
2014-06-28	League of Legends	648374
2014-06-29	Dota 2	267103
2014-06-29	League of Legends	663194
2014-06-30	Dota 2	134322
2014-06-30	League of Legends	696529
2014-07-01	Dota 2	122608
2014-07-01	League of Legends	667084
2014-07-02	Dota 2	145695
2014-07-02	League of Legends	718618
2014-07-03	Dota 2	156481
2014-07-03	League of Legends	705100
2014-07-04	Dota 2	153340
2014-07-04	League of Legends	679028
2014-07-05	Dota 2	107623
2014-07-05	League of Legends	688402
2014-07-06	Dota 2	103326
2014-07-06	League of Legends	725903
2014-07-07	Dota 2	111552
2014-07-07	League of Legends	743225
2014-07-08	Dota 2	500683
2014-07-08	League of Legends	652358
2014-07-09	Dota 2	592123
2014-07-09	League of Legends	582893
2014-07-10	Dota 2	503497
2014-07-10	League of Legends	735556
2014-07-11	Dota 2	433468
2014-07-11	League of Legends	680758
2014-07-12	Dota 2	446442
2014-07-12	League of Legends	760468
2014-07-13	Dota 2	240523
2014-07-13	League of Legends	634931
2014-07-14	Dota 2	304881
2014-07-14	League of Legends	678889
2014-07-15	Dota 2	216762
2014-07-15	League of Legends	640723
2014-07-16	Dota 2	84186
2014-07-16	League of Legends	630207
2014-07-17	Dota 2	81005
2014-07-17	League of Legends	696158
2014-07-18	Dota 2	420686
2014-07-18	League of Legends	677757
2014-07-19	Dota 2	471411
2014-07-19	League of Legends	756590
2014-07-20	Dota 2	362901
2014-07-20	League of Legends	734478
2014-07-21	Dota 2	500507
2014-07-21	League of Legends	762640
2014-07-22	Dota 2	77758
2014-07-22	League of Legends	632280
2014-07-23	Dota 2	96030
2014-07-23	League of Legends	664866
2014-07-24	Dota 2	128070
2014-07-24	League of Legends	728163
2014-07-25	Dota 2	153354
2014-07-25	League of Legends	675646
2014-07-26	Dota 2	143071
2014-07-26	League of Legends	761986
2014-07-27	Dota 2	175712
2014-07-27	League of Legends	742040
2014-07-28	Dota 2	174986
2014-07-28	League of Legends	700714
2014-07-29	Dota 2	186016
2014-07-29	League of Legends	751488
2014-07-30	Dota 2	176052
2014-07-30	League of Legends	763659
2014-07-31	Dota 2	211356
2014-07-31	League of Legends	735106
2014-08-01	Dota 2	188902
2014-08-01	League of Legends	859329
2014-08-02	Dota 2	142064
2014-08-02	League of Legends	724808
2014-08-03	Dota 2	182683
2014-08-03	League of Legends	709478
2014-08-04	Dota 2	199942
2014-08-04	League of Legends	764446
2014-08-05	Dota 2	200990
2014-08-05	League of Legends	728434
2014-08-06	Dota 2	233285
2014-08-06	League of Legends	734772
2014-08-07	Dota 2	188082
2014-08-07	League of Legends	810407
2014-08-08	Dota 2	222578
2014-08-08	League of Legends	686731
2014-08-09	Dota 2	229592
2014-08-09	League of Legends	633363
2014-08-10	Dota 2	246255
2014-08-10	League of Legends	625302
2014-08-11	Dota 2	278394
2014-08-11	League of Legends	619972
2014-08-12	Dota 2	207570
2014-08-12	League of Legends	707157
2014-08-13	Dota 2	216676
2014-08-13	League of Legends	627491
2014-08-14	Dota 2	182981
2014-08-14	League of Legends	645928
2014-08-15	Dota 2	218228
2014-08-15	League of Legends	650858
2014-08-16	Dota 2	216765
2014-08-16	League of Legends	775568
2014-08-17	Dota 2	291102
2014-08-17	League of Legends	885398
2014-08-18	Dota 2	206782
2014-08-18	League of Legends	658507
2014-08-19	Dota 2	218947
2014-08-19	League of Legends	647172
2014-08-20	Dota 2	290076
2014-08-20	League of Legends	688358
2014-08-21	Dota 2	257190
